Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,299,12,T:System.Uri,,,,,"var localhostUrl = new Uri(""http://localhost:8080/api"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,299,12,M:System.Uri.#ctor(System.String),,,,,"var localhostUrl = new Uri(""http://localhost:8080/api"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,295,12,T:System.Uri,,,,,"var internalUrl = new Uri(""http://192.168.1.1/admin"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,295,12,M:System.Uri.#ctor(System.String),,,,,"var internalUrl = new Uri(""http://192.168.1.1/admin"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,290,12,T:System.Uri,,,,,"var maliciousUrl = new Uri(""https://evil.com/malicious"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,290,12,M:System.Uri.#ctor(System.String),,,,,"var maliciousUrl = new Uri(""https://evil.com/malicious"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,240,12,T:System.Uri,,,,,urlValidationServiceMock.Setup(x => x.IsUrlValidAsync(It.IsAny<Uri>())).ReturnsAsync(true);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,223,12,T:System.Uri,,,,,"var mediaFileModel = new MediaFileModel { Url = new Uri(inputUrl), StartTimestamp = ""00:00:10"", EndTimestamp = ""00:00:20"", Format = Enums.Format.MP3 };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,223,12,M:System.Uri.#ctor(System.String),,,,,"var mediaFileModel = new MediaFileModel { Url = new Uri(inputUrl), StartTimestamp = ""00:00:10"", EndTimestamp = ""00:00:20"", Format = Enums.Format.MP3 };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,223,12,T:System.Uri,,,,,"var mediaFileModel = new MediaFileModel { Url = new Uri(inputUrl), StartTimestamp = ""00:00:10"", EndTimestamp = ""00:00:20"", Format = Enums.Format.MP3 };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,194,12,T:System.Uri,,,,,"var mediaFileModel = new MediaFileModel { Url = new Uri(inputUrl), StartTimestamp = ""00:00:20"", EndTimestamp = ""00:00:10"" };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,194,12,M:System.Uri.#ctor(System.String),,,,,"var mediaFileModel = new MediaFileModel { Url = new Uri(inputUrl), StartTimestamp = ""00:00:20"", EndTimestamp = ""00:00:10"" };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,194,12,T:System.Uri,,,,,"var mediaFileModel = new MediaFileModel { Url = new Uri(inputUrl), StartTimestamp = ""00:00:20"", EndTimestamp = ""00:00:10"" };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,175,12,T:System.Uri,,,,,"var mediaFileModel = new MediaFileModel { Url = new Uri(inputUrl), StartTimestamp = ""00:00:20"", EndTimestamp = ""00:00:10"" };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,175,12,M:System.Uri.#ctor(System.String),,,,,"var mediaFileModel = new MediaFileModel { Url = new Uri(inputUrl), StartTimestamp = ""00:00:20"", EndTimestamp = ""00:00:10"" };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,175,12,T:System.Uri,,,,,"var mediaFileModel = new MediaFileModel { Url = new Uri(inputUrl), StartTimestamp = ""00:00:20"", EndTimestamp = ""00:00:10"" };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,154,12,T:System.Uri,,,,,"var mediaFileModel = new MediaFileModel { Url = new Uri(inputUrl), StartTimestamp = ""00:00:10"", EndTimestamp = ""00:00:20"" };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,154,12,M:System.Uri.#ctor(System.String),,,,,"var mediaFileModel = new MediaFileModel { Url = new Uri(inputUrl), StartTimestamp = ""00:00:10"", EndTimestamp = ""00:00:20"" };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,154,12,T:System.Uri,,,,,"var mediaFileModel = new MediaFileModel { Url = new Uri(inputUrl), StartTimestamp = ""00:00:10"", EndTimestamp = ""00:00:20"" };"
